a        | 啊  | Particle                       → Ahhh, Oh, Aha
ban      | 瓣  | Petal                          → Fermented, Lips, Flower
ban      | 绊  | Hinder                         → Obstacle
ban      | 阪  | Slope                          → Osaka, Xiaobanyoujia
ban      | 坂  | Slope                          → Youbanlihui
ban      | 瘢  | Scar                           → [无建议, 可用首字母: AFGJLNOQRUVWXYZ]
bang     | 膀  | Shoulder                       → Arm, Upper, Flapping
bang     | 邦  | State                          → Zhaofengbang, Zhangbangji, Govern
bang     | 棒  | Stick                          → Glass, Iron, Really
bang     | 梆  | Clapper                        → Gong
bang     | 浜  | Creek                          → [无建议, 可用首字母: AEFGIJKNOQRUVXYZ]
bao      | 保  | Protect                        → Ministry, Insurance, Insurance
bao      | 报  | Repay                          → Masthead, Notification, Xinhua
bao      | 包  | Wrap                           → Circle, Meat, Indenture
bao      | 宝  | Treasure                       → Yuanbao, Chenbaolian, Zengbaoyi
bao      | 抱  | Hug                            → Cry, Complain, Carry
bao      | 爆  | Explode                        → Nuclear, Ignite
bao      | 薄  | Thin                           → Meager, Inconstant, Overflowing
bao      | 堡  | Fortress                       → Nanbao, Chaiwobao, Zhoujiabao
bao      | 饱  | Full                           → Unsaturated, Oversaturated, Unsaturated
bao      | 胞  | Embryo                         → Mother, Unit, Intercellular
bao      | 剥  | Peel                           → Undress
bao      | 褒  | Praise                         → Yinggelibaoman
bao      | 曝  | Expose                         → [无建议, 可用首字母: CGIJKMNOQUXYZ]
bao      | 煲  | Stew                           → [无建议, 可用首字母: CGIJKMNOQUXYZ]
bao      | 葆  | Preserve                       → Xubaoguang, Meibaojiu
bao      | 雹  | Hail                           → [无建议, 可用首字母: CGIJKMNOQUXYZ]
bao      | 褓  | Swaddle                        → Cradle
bao      | 炮  | Roast                          → Cannon, Coastal, Cannon
bao      | 孢  | Spore                          → Cephalosporin
bao      | 瀑  | Waterfall                      → Xiangshuiyupu, Canglongbaipu, Changbaishanpubu
bei      | 背  | Back                           → Unable, Memorize, Memorize
bei      | 杯  | Cup                            → Paper, Gluttonous, Golden
bei      | 辈  | Age                            → Younger, Fathers', Elder
bei      | 悲  | Sad                            → Mixed, Joy, Miserable
bei      | 贝  | Shell                          → Kabeila, Keerbei, Mussels
bei      | 碑  | Stone                          → Guchangchengshuobei, Inscription, Jiefangbei
bei      | 蓓  | Bud                            → Liubei, Yebei, Gongbeibi
bei      | 悖  | Contrary                       → Paradox
bei      | 焙  | Bake                           → [无建议, 可用首字母: EFGIJKLMOPUVXYZ]
bei      | 陂  | Slope                          → Zhoubeixiang, Fishpond
bei      | 钡  | Barium                         → [无建议, 可用首字母: EFGIJKLMOPUVXYZ]
bei      | 臂  | Arm                            → Upper, Gibbon, Extend
ben      | 本  | Root                           → Aodailiheben, Total, Mabenzhai
ben      | 奔  | Run                            → Passionate, Head, Chuoqiqianbenlu
bi       | 必  | Must                           → Yuanshizuhubilie, Unity, Yaobida
bi       | 毕  | Finish                         → Lifetime, Graduation, Graduation
bi       | 笔  | Pen                            → Labixiaoxin, Zhoubichang, Laptop
bi       | 避  | Avoid                          → Lightning, Yield
bi       | 闭  | Shut                           → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 鼻  | Nose                           → Lion, Xiang, Xiangbishan
bi       | 逼  | Force                          → Lifelike
bi       | 臂  | Arm                            → Upper, Gibbon, Left
bi       | 壁  | Wall                           → Gobi, Gecko, Luobi
bi       | 彼  | That                           → Knowing
bi       | 碧  | Blue                           → Liaobier, Youmubi, Guobiting
bi       | 币  | Money                          → Gold, Legal
bi       | 陛  | Steps                          → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 匕  | Dagger                         → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 毙  | Die                            → Killed, Killed
bi       | 婢  | Maid                           → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 弊  | Fraud                          → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 庇  | Shelter                        → Luobosibier
bi       | 敝  | Tattered                       → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 痹  | Numbness                       → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 弼  | Assist                         → Zhuweibi, Liguangbi, Zhaobi
bi       | 俾  | Make                           → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 裨  | Benefit                        → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 哔  | Beep                           → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 吡  | Pyridine                       → Vitamin
bi       | 妣  | Deceased mother                → Xian
bi       | 筚  | Wicker                         → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 荸  | Water chestnut                 → [无建议, 可用首字母: GKLQUVXYZ]
bi       | 秘  | Secret                         → United
bi       | 泌  | Secrete                        → Urinary
bian     | 边  | Side                           → Frontier, Horizon, Edge
bian     | 遍  | All                            → Five, General, Once
bian     | 编  | Weave                          → Hu, Grouping, Fabricate
bian     | 辩  | Argue                          → Undeniable, Liubian, Eloquent
bian     | 鞭  | Whip                           → Long, Firecracker, Urge
bian     | 辨  | Distinguish                    → Recognize, Identify, Resolution
bian     | 辫  | Braid                          → [无建议, 可用首字母: EFGHIJKLMOPQRUVXYZ]
bian     | 贬  | Degrade                        → Exile, Praise, Obsolete
bian     | 蝙  | Bat                            → [无建议, 可用首字母: EFGHIJKLMOPQRUVXYZ]
bian     | 匾  | Sign                           → Plaque
bian     | 汴  | Bian River                     → Xiangyuanbian
bian     | 砭  | Stone needle                   → Qinghuabi
bian     | 鳊  | Bream                          → [无建议, 可用首字母: EFGHIJKLMOPQRUVXYZ]
bian     | 苄  | Spice                          → [无建议, 可用首字母: EFGHIJKLMOPQRUVXYZ]
biao     | 标  | Mark                           → Economic, Target, Yuguangbiao
biao     | 骠  | Steed                          → Telebiao, Yellow, Cavalryman
biao     | 裱  | Mount                          → Flower, Framing
biao     | 鳔  | Swim bladder                   → [无建议, 可用首字母: ACEFHIJKLNOQRTUVXYZ]
bin      | 彬  | Refined                        → Yeqibin, Zhengduobin, Zhongbin
bin      | 斌  | Refined                        → Yangzhebin, Wangwenbin, Luanbin
bin      | 摈  | Reject                         → Abandon
bing     | 并  | And                            → Merger, Does, Unified
bing     | 兵  | Army                           → Mabing, Military, National
bing     | 冰  | Ice                            → Lu, Dry, Figure
bing     | 病  | Illness                        → Virology, Disease, Visit
bing     | 柄  | Stem                           → Peduncle, Petiole, Wooden
bing     | 摒  | Abandon                        → [无建议, 可用首字母: DEFGJKLMNOPQUVWXYZ]
bing     | 屏  | Screen                         → Peacock, Yunping, Jinping
bo       | 波  | Ripple                         → Wave, Long, Wavelength
bo       | 博  | Profound                       → Lvshunbowuguan, Haiwaijiaotongshibowuguan, Laiboweici
bo       | 拨  | Stir                           → Hebo, Hongchibo, Low-ranking
bo       | 播  | Sow                            → Widespread, Means, Method
bo       | 勃  | Sudden                         → Wangbo, Lively, Yangtze
bo       | 搏  | Fight                          → Heart, Hand-to-hand
bo       | 驳  | Refute                         → Huleibo, Heterogeneous, Irrefutable
bo       | 剥  | Peel                           → Exploiter, Exploit, Exploited
bo       | 簸  | Sift                           → [无建议, 可用首字母: EHIJKLMOQWXYZ]
bo       | 帛  | Silk                           → Jade, Money, Money
bo       | 钵  | Bowl                           → Zhangbolongtou, Mortar
bo       | 渤  | Bohai                          → Liudingshanbohaimuqun, Huangbo
bo       | 菠  | Spinach                        → Large
bo       | 舶  | Ship                           → [无建议, 可用首字母: EHIJKLMOQWXYZ]
bo       | 铂  | Platinum                       → [无建议, 可用首字母: EHIJKLMOQWXYZ]
bo       | 箔  | Foil                           → [无建议, 可用首字母: EHIJKLMOQWXYZ]
bo       | 亳  | Bo (city)                      → [无建议, 可用首字母: EHIJKLMOQWXYZ]
bo       | 鹁  | Pigeon                         → [无建议, 可用首字母: EHIJKLMOQWXYZ]
bu       | 不  | No                             → Unable, Real, Unfavorable
bu       | 部  | Part                           → Weather, Waist, Grand
bu       | 布  | Cloth                          → Release, Hemp, Distribution
bu       | 怖  | Fear                           → Terrorist, Anti-terrorism, Terrifying
bu       | 捕  | Catch                          → Arrested, Lure, Killing
bu       | 簿  | Notebook                       → Account, Ledger, Official
bu       | 哺  | Nurse                          → Giving, Zhou, lactation
bu       | 埠  | Port                           → Xibutou, Butou, Wharf
bu       | 堡  | Fortress                       → Wajiabao, Zhoujiabao, Ten-Mile
cai      | 彩  | Color                          → Aicai, Brilliant, Enhance
cai      | 蔡  | Cai (surname)                  → Xiacai, Xincaixian, Xincai
cai      | 裁  | Cut                            → Rule, Zhangjiangcai, Judgment
can      | 灿  | Bright                         → Linyingcan, Lutingcan, Yangfangcan
can      | 掺  | Blend                          → Add
can      | 璨  | Bright                         → Anjuncan
can      | 粲  | Bright                         → Chencan, Liucan, Yangcanmu
cang     | 藏  | Hide                           → Tibetan, Mengzangyuan, Tibetan
cang     | 苍  | Grey                           → Sky, Silver, Desolation
cang     | 仓  | Granary                        → Zhongcang, Rongcangnainai, North
cang     | 舱  | Hold                           → Inside, Boat, Between
ceng     | 蹭  | Rub                            → Procrastinate
ceng     | 嶒  | Rugged                         → [无建议, 可用首字母: ABCDEFGHIJKMNPQSTUVWXYZ]
cha      | 诧  | Surprise                       → [无建议, 可用首字母: ACGHJKLMNPQRUVWXYZ]
cha      | 叉  | Fork                           → Harpoon, Mizhichashao, Cross-referential
cha      | 岔  | Fork                           → Chadaocheng, Chakou, Chalukou
cha      | 茬  | Stubble                        → [无建议, 可用首字母: ACGHJKLMNPQRUVWXYZ]
cha      | 碴  | Fragment                       → Look
cha      | 姹  | Beautiful                      → Vivid
cha      | 杈  | Branch                         → [无建议, 可用首字母: ACGHJKLMNPQRUVWXYZ]
cha      | 汊  | Branch                         → River
chai     | 拆  | Dismantle                      → Taken, Renovation, Undercut
chai     | 差  | Difference                     → Negative, Gender, Great
chan     | 颤  | Tremble                        → [无建议, 可用首字母: ADIJKLMNOPQUVX]
chan     | 铲  | Spade                          → Iron
chan     | 婵  | Beautiful                      → Ouyangchanjuan
chan     | 馋  | Greedy                         → [无建议, 可用首字母: ADIJKLMNOPQUVX]
chan     | 潺  | Gurgle                         → Murmuring, Murmuring
chan     | 蟾  | Toad                           → Liubuchan
chan     | 谗  | Slander                        → [无建议, 可用首字母: ADIJKLMNOPQUVX]
chan     | 澶  | Broad                          → [无建议, 可用首字母: ADIJKLMNOPQUVX]
chan     | 巉  | Steep                          → Precipitous
chan     | 单  | Single                         → Parallel, Lonely, Xidanshangchang
chang    | 场  | Field                          → Bachang, Xidanshangchang, Experimental
chang    | 唱  | Sing                           → Beautiful, Aria, Never
chang    | 厂  | Factory                        → Erchang, Yiliaoqixiechang, Automobile
chang    | 昌  | Prosperous                     → Xuchang, Ji, Dong
chang    | 畅  | Smooth                         → Exquisite, Bestseller, Zhengyuanchang
chang    | 偿  | Repay                          → Damages
chang    | 敞  | Spacious                       → Bright, Jinchang
chang    | 倡  | Promote                        → Anti-Corruption, Advocate
chang    | 娼  | Prostitute                     → [无建议, 可用首字母: ABDEGHJKNQUXYZ]
chang    | 猖  | Rampant                        → Arrogant
chang    | 鲳  | Pomfret                        → [无建议, 可用首字母: ABDEGHJKNQUXYZ]
chao     | 朝  | Dynasty                        → Han, Korean, Previous
chao     | 嘲  | Mock                           → Laugh, Resolve
chao     | 巢  | Den                            → Literally, Huangchao, Juchao
chao     | 钞  | Money                          → US, Baochaohutong, Banknote
che      | 扯  | Pull                           → Involve, Grab
che      | 掣  | Pull                           → Obstruction
chen     | 沉  | Sink                           → Calm, Immersed, Broken
chen     | 臣  | Minister                       → Nianwangchen, Former, Zhaoguochen
chen     | 晨  | Morning                        → Frosty, Chengchen, Early
chen     | 趁  | While                          → [无建议, 可用首字母: BCEFHIJKNPQRUVXYZ]
chen     | 嗔  | Angry                          → Petulant
chen     | 称  | Weigh                          → Incompatible, Establishing, Chengzhihaimishihou
chen     | 忱  | Sincere                        → Full, Qinzichen, Enthusiasm
chen     | 瞋  | Angry                          → [无建议, 可用首字母: BCEFHIJKNPQRUVXYZ]
cheng    | 成  | Succeed                        → Dangcheng, Lichenglie, Dug
cheng    | 城  | City                           → Yecheng, Mingzhongduhuangguchengjihuanglingshike, Urban
cheng    | 程  | Process                        → Lecture, Distance, Debugging
cheng    | 撑  | Prop                           → Erect, Vault
cheng    | 呈  | Present                        → Emerging, Lichengxiang, Department
cheng    | 惩  | Punish                         → [无建议, 可用首字母: DEIJKLMNQUVXYZ]
cheng    | 澄  | Clear                          → Lichengzhong, Yangcheng, Zhucheng
cheng    | 逞  | Succeed                        → [无建议, 可用首字母: DEIJKLMNQUVXYZ]
cheng    | 秤  | Scale                          → Electronic
chi      | 持  | Hold                           → Maintain, Constancy, Maintaining
chi      | 痴  | Idiot                          → Great, Dachi, Crazy
chi      | 尺  | Unit                           → Close, Measuring, Measuring
chi      | 驰  | Speed                          → Zhangchi, Zhouxingchi, Zhouchi
chi      | 耻  | Shame                          → National, Mock, Morality
chi      | 哧  | Hiss                           → [无建议, 可用首字母: CDGJMNQVXYZ]
chi      | 嗤  | Sneer                          → [无建议, 可用首字母: CDGJMNQVXYZ]
chi      | 叱  | Shout                          → Chilu
chi      | 侈  | Wasteful                       → [无建议, 可用首字母: CDGJMNQVXYZ]
chi      | 敕  | Imperial order                 → Chilic, Chilic, Qichugongchi
chi      | 饬  | Instruct                       → [无建议, 可用首字母: CDGJMNQVXYZ]
chi      | 笞  | Whip                           → [无建议, 可用首字母: CDGJMNQVXYZ]
chi      | 媸  | Ugly                           → [无建议, 可用首字母: CDGJMNQVXYZ]
chong    | 充  | Fill                           → Chong, Wang, Complementary
chong    | 重  | Important                      → Zhu, Quite, Masterpiece
chong    | 虫  | Insect                         → Male, Eating, Entomologist
chong    | 宠  | Favor                          → Spoil, Dote, Liuchong
chou     | 抽  | Pull                           → Open, Abstractly, Abstract
chou     | 臭  | Stinky                         → Ozone, Ozone, Bad
chou     | 愁  | Sorrow                         → What, Nostalgia, Guijianchou
chou     | 筹  | Plan                           → Consider, Crowdfunding, Organizing
chou     | 绸  | Silk                           → [无建议, 可用首字母: ABCGIJKLNOQTVWXYZ]
chu      | 出  | Exit                           → Release, Outstanding, Run
chu      | 处  | Place                          → Word, Wastewater, Jiaojiechu
chu      | 除  | Eliminate                      → Abstain, Addition, Remove
chu      | 初  | First                          → Junior, Yechuchun, Wangchutong
chu      | 触  | Feel                           → Analogy, Antennae, Violate
chu      | 储  | Save                           → Reserve, Grain, Water
chu      | 褚  | Surname Chu                    → Zhukubatulu, Xuchu|xuzhu
chu      | 搐  | Twitch                         → [无建议, 可用首字母: AGJMOQRUVWXYZ]
chu      | 橱  | Cabinet                        → Wardrobe, Window
chu      | 躇  | Hesitate                       → [无建议, 可用首字母: AGJMOQRUVWXYZ]
chu      | 雏  | Chick                          → Young, Young, Young
chu      | 锄  | Hoe                            → Jiangchuou
chu      | 矗  | Towering                       → [无建议, 可用首字母: AGJMOQRUVWXYZ]
chu      | 杵  | Pestle                         → Guichujiu, Mortar, Qijinggonglvchujiu
chu      | 怵  | Fear                           → [无建议, 可用首字母: AGJMOQRUVWXYZ]
chu      | 蜍  | Toad                           → [无建议, 可用首字母: AGJMOQRUVWXYZ]
chu      | 刍  | Hay                            → Jifuchu, Ruminant, Xiongfuchu
chu      | 滁  | Chu River                      → [无建议, 可用首字母: AGJMOQRUVWXYZ]
chuan    | 川  | River                          → Jingchuanyao, Xiaochuanyuesi, Yongchuanshi
chuan    | 椽  | Rafter                         → Eaves
chuang   | 床  | Bed                            → Deposit, Grinding, Drilling
chuang   | 疮  | Sore                           → Pimples, Frostbite, Acne
chuang   | 怆  | Sad                            → Heartrending
chuang   | 幢  | Building                       → Zhaozhoutuoluonijingchuang, Zunshengtuoluonijingchuang, Nanxiangsijingchuang
chui     | 吹  | Blow                           → Sound, Fengchuiyajila, Playing
chui     | 垂  | Hang                           → Murongchui, Low-headed, Weeping
chui     | 锤  | Beat                           → Tuners, Swing, Iron
chui     | 捶  | Beat                           → Golfing
chui     | 槌  | Hammer                         → Wooden, Drumstick
chui     | 陲  | Border                         → [无建议, 可用首字母: ADEFGIJKLMNOPQRSTUWXYZ]
chun     | 春  | Spring                         → Yu, Full, Jiangnanchuncheng
chun     | 纯  | Pure                           → Machun, Xuchunmei, Yinchun
chun     | 蠢  | Stupid                         → Fool, Folly
chun     | 淳  | Pure                           → Xianchun, Chunan, Zaichun
chun     | 醇  | Pure                           → Ethanol, Butanol, Chenlichun
chun     | 椿  | Spring                         → Chunshuyuan, Xudachun, Jiangchunfang
ci       | 此  | This                           → Here, End, Like
ci       | 次  | Time                           → Zuozuomuxiaocilang, Each, Position
ci       | 赐  | Grant                          → Imperial, Yetianci, Xiongcilv
ci       | 瓷  | China                          → Porcelain, Enamel, Utility
ci       | 雌  | Female                         → Estrogen, Pistil
ci       | 祠  | Temple                         → Nanyanggongzhuci, Zhangjiaci, Lijiacitang
ci       | 疵  | Flaw                           → [无建议, 可用首字母: EHIJLNOPQUVXYZ]
ci       | 糍  | Glutinous rice cake            → [无建议, 可用首字母: EHIJLNOPQUVXYZ]
ci       | 鹚  | Cormorant                      → [无建议, 可用首字母: EHIJLNOPQUVXYZ]
cong     | 从  | Follow                         → Descend, Liconghou, Never
cong     | 聪  | Clever                         → Intelligence, Intelligent, Intelligent
cong     | 丛  | Cluster                        → Mixed, Doubts, Thorns
cong     | 囱  | Chimney                        → [无建议, 可用首字母: ABDEIKLMNOPQRTUVWXYZ]
cong     | 枞  | Fir                            → Zongyang, Larch
cu       | 醋  | Vinegar                        → Sour, Oil, Old
cu       | 酢  | Vinegar                        → [无建议, 可用首字母: ABDEFGHIJLMNOPQRSWXYZ]
cui      | 翠  | Green                          → Lush, Licuiju, Lush
cui      | 萃  | Gather                         → Rich
cuo      | 挫  | Frustrate                      → Discouraged, Bruise
cuo      | 锉  | File                           → [无建议, 可用首字母: BDEIJKLMNOQTUVXYZ]
da       | 大  | Big                            → Upper, Jiutianleizudadi, Phyllite
da       | 搭  | Build                          → Wrong, Constructed, Partner
da       | 瘩  | Bump                           → Lump
da       | 嗒  | Thud                           → [无建议, 可用首字母: CEFGIJKLNOPQSUVWXYZ]
da       | 鞑  | Tatar                          → [无建议, 可用首字母: CEFGIJKLNOPQSUVWXYZ]
da       | 靼  | Tatar                          → [无建议, 可用首字母: CEFGIJKLNOPQSUVWXYZ]
da       | 褡  | Bag                            → [无建议, 可用首字母: CEFGIJKLNOPQSUVWXYZ]
dai      | 带  | Belt                           → Jingjidai, Jiubaodairen, Zone
dai      | 待  | Wait                           → Abuse, Generous, Hospitality
dai      | 袋  | Bag                            → Koala, Pocket, Kangaroo
dai      | 戴  | Wear                           → Put, Qiangnidaipu, Put
dai      | 黛  | Black                          → Aodaili, Aodailiheben, Adaier
dai      | 歹  | Bad                            → Anyway, Unwilling, Gangster
dai      | 殆  | Dangerous                      → Exhaust, Extinction, Knowing
dai      | 岱  | Dai Mountain                   → Hezhendai, Galudai, Zhang
dai      | 傣  | Dai (ethnic)                   → [无建议, 可用首字母: AEFGHIJKMOPQUVXYZ]
dai      | 大  | Big                            → Upper, Jiutianleizudadi, Huaguangdadi
dan      | 淡  | Light                          → Ordinary, Zhangdanyue, Off-season
dan      | 弹  | Bullet                         → Tanqinxia, Timed, Projectile
dan      | 蛋  | Egg                            → Trypsin, Meat, Keratin
dan      | 旦  | Dawn                           → Wudan, Old, Tangruizonglidan
dan      | 诞  | Birth                          → Absurd, Merry, Zhugedan
dan      | 耽  | Delay                          → Waste
dan      | 郸  | Dancheng (county)              → Zhaohandangucheng
dan      | 殚  | Exhaust                        → [无建议, 可用首字母: AIJKMOPQTUVWXYZ]
dan      | 儋  | Danzhou (city)                 → Yinshidan
dan      | 箪  | Bamboo basket                  → [无建议, 可用首字母: AIJKMOPQTUVWXYZ]
dan      | 萏  | Lotus bud                      → Water
dang     | 荡  | Swing                          → Turbulent, Oscillator, Idle
dang     | 挡  | Stop                           → Unstoppable, Unstoppable, Gear
dao      | 到  | Reach                          → Appear, Arrive, Early
dao      | 盗  | Rob                            → Thief, Pirate, Quanqiangdao
dao      | 祷  | Beg                            → Prayer, Pray, Praying
dao      | 捣  | Beat                           → Grind
dao      | 稻  | Rice                           → Gudaotian, Early, Hybrid
deng     | 瞪  | Stare                          → [无建议, 可用首字母: ABEFGHIJKMNOQRUVXYZ]
deng     | 凳  | Stool                          → Bench, Fang
deng     | 镫  | Stirrup                        → Horse
di       | 地  | Earth                          → Central, Houqinjidi, Heard
di       | 第  | Rank                           → Chapter, Volume, Chapter
di       | 底  | Bottom                         → Crystal, Completely, Under
di       | 低  | Low                            → Uneven, Inefficient, Upper-class
di       | 帝  | God                            → Jinjianwendisimayu, Jiutianleizudadi, Huiyidigaoyun
di       | 敌  | Enemy                          → Invincible, Invincible, Neibianchangchengditai
di       | 抵  | Resist                         → Unstoppable, Conflict, Cannot
di       | 递  | Pass                           → Output, Increasing, Variation
di       | 迪  | Guide                          → Kaitelinnasangdinuomoleinuo, Xilindiweng, Qiaodi
di       | 滴  | Drop                           → Intravenous, Oil
di       | 的  | Possessive                     → Undeniable, Quietly, If
di       | 蒂  | Stem                           → Christie, Kongdi, Kelaodiya
di       | 狄  | Di (ethnic)                    → Kangniedigezhou
di       | 笛  | Pipe                           → Qin, Horizontal, Honking
di       | 嘀  | Murmur                         → [无建议, 可用首字母: CHIJKNOQUVX]
di       | 堤  | Dyke                           → Xidiliuqiao, Changdi, Outside
di       | 邸  | Mansion                        → Official
di       | 嫡  | Legitimate                     → Close
di       | 棣  | Brother                        → Hebingdi, Ko
di       | 涤  | Wash                           → Cleaning, Cleanse, Cleaning
di       | 荻  | Reed                           → Caodiqiu
di       | 诋  | Slander                        → [无建议, 可用首字母: CHIJKNOQUVX]
di       | 砥  | Whetstone                      → [无建议, 可用首字母: CHIJKNOQUVX]
dian     | 电  | Lightning                      → Brainwave, Electric, Electrical
dian     | 店  | Shop                           → Zhongnanjiudian, Xinhuashudian, Jindudajiudian
dian     | 典  | Classic                        → Graduation, Award, Acropolis
dian     | 颠  | Top                            → Revolutionary, Overthrow, Black
dian     | 垫  | Pad                            → Buffer, Air, Rubber
dian     | 甸  | Countryside                    → Zhongdian, Xundian, Eden
dian     | 惦  | Miss                           → Remembering
dian     | 奠  | Commemorate                    → Groundbreaking, Founder, Founding
dian     | 癫  | Mad                            → Epilepsy
dian     | 巅  | Peak                           → [无建议, 可用首字母: ABEFGJKNOQRUVXZ]
dian     | 淀  | Lake                           → Baiyangdian, Accumulate, Baiyangdian
dian     | 玷  | Stain                          → [无建议, 可用首字母: ABEFGJKNOQRUVXZ]
dian     | 踮  | Tiptoe                         → [无建议, 可用首字母: ABEFGJKNOQRUVXZ]
dian     | 佃  | Tenant                         → [无建议, 可用首字母: ABEFGJKNOQRUVXZ]
dian     | 靛  | Indigo                         → [无建议, 可用首字母: ABEFGJKNOQRUVXZ]
dian     | 碘  | Iodine                         → [无建议, 可用首字母: ABEFGJKNOQRUVXZ]
die      | 爹  | Dad                            → Parents
die      | 碟  | Dish                           → [无建议, 可用首字母: AEGHIJKLMNPQUVWXYZ]
ding     | 顶  | Top                            → Dome, Liudingshanbohaimuqun, Liudingshangumuqun
ding     | 丁  | Adult                          → Qidinggong, Junshitanding, Dingfei
ding     | 订  | Book                           → Deposit, Sign, Revise
ding     | 叮  | Bite                           → Ding-dong, Ding-dong, Merrily
ding     | 鼎  | Tripod                         → Emperor's, Landingyuan, Dingcheng
ding     | 仃  | Alone                          → Lonely, Leiting, Lonely
ding     | 铤  | Bolt                           → [无建议, 可用首字母: CDEHJKLMOQRSUVWXYZ]
dou      | 抖  | Shake                          → Yi
dou      | 豆  | Pea                            → Red, Lohan, Jindou
dou      | 逗  | Tease                          → Lead, Entice
dou      | 兜  | Carry                          → Dou, Belly, Lingdou
dou      | 陡  | Steep                          → Douling
dou      | 窦  | Cave                           → Doujiande, Doudian, Gate
dou      | 痘  | Pimple                         → Varicella-zoster, Doushen, Vaccinate
dou      | 蚪  | Tadpole                        → [无建议, 可用首字母: BDEGHIJKLMNOQRUVWXYZ]
du       | 度  | Measure                        → Transmission, Octave, Fatigue
du       | 独  | Alone                          → Judicial, Independent, Independence
du       | 读  | Read                           → Interpret, Linking, While
du       | 杜  | Cypress                        → Fabricate, Truman, Labudu
du       | 肚  | Belly                          → Little, Yu, Hungry
du       | 赌  | Bet                            → Game, Gambling, Gambling
du       | 督  | Monitor                        → Governor, General, Quality
du       | 渡  | Cross                          → Transition, Xijingudu, Yangtze
du       | 嘟  | Mumble                         → [无建议, 可用首字母: FGHIJKLNOQTUVWXYZ]
du       | 堵  | Block                          → Traffic, Harassment, Xiongduaoxi
